[7.12556623]
[6.94729381]
[6.8852441]
[6.96933968]
[7.15415896]
[7.58916382]
[9.168638]
[12.98078008]
[14.46911533]
[12.12294873]
[9.27922722]
[7.93568205]
[7.40424347]
[7.16499773]
[7.05617922]
